DrugBank_ID,Drug_Name,Predicted_Disease_ID,Predicted_Disease_Name,Matched_Targets,Bridging_Genes,Rule_Confidence,Rule_Growth_Rate,Validation_Status
DB12537,"1,2-Benzodiazepine",C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,🌟 零样本全新发现
DB12420,Diazepinomicin,C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,🌟 零样本全新发现
DB06582,Dextofisopam,C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,🌟 零样本全新发现
DB06504,S-8510,C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,🌟 零样本全新发现
DB13146,Fluciclovine (18F),C0917801,Sleeplessness,TARGET_Glutamate_receptor_2,间接机制,1.0,inf,🌟 零样本全新发现
DB08883,Perampanel,C0917801,Sleeplessness,TARGET_Glutamate_receptor_2,间接机制,1.0,inf,🌟 零样本全新发现
DB08305,"(3R)-3-cyclopentyl-6-methyl-7-[(4-methylpiperazin-1-yl)sulfonyl]-3,4-dihydro-2H-1,2-benzothiazine 1,1-dioxide",C0917801,Sleeplessness,TARGET_Glutamate_receptor_2,间接机制,1.0,inf,🌟 零样本全新发现
DB08304,"(3R)-3-cyclopentyl-7-[(4-methylpiperazin-1-yl)sulfonyl]-3,4-dihydro-2H-1,2-benzothiazine 1,1-dioxide",C0917801,Sleeplessness,TARGET_Glutamate_receptor_2,间接机制,1.0,inf,🌟 零样本全新发现
DB08303,"(3S)-3-cyclopentyl-6-methyl-7-[(4-methylpiperazin-1-yl)sulfonyl]-3,4-dihydro-2H-1,2,4-benzothiadiazine 1,1-dioxide",C0917801,Sleeplessness,TARGET_Glutamate_receptor_2,间接机制,1.0,inf,🌟 零样本全新发现
DB07598,"2,3,6A,7,8,9-HEXAHYDRO-11H-[1,4]DIOXINO[2,3-G]PYRROLO[2,1-B][1,3]BENZOXAZIN-11-ONE",C0917801,Sleeplessness,TARGET_Glutamate_receptor_2,间接机制,1.0,inf,🌟 零样本全新发现
DB07455,"N,N'-[biphenyl-4,4'-diyldi(2R)propane-2,1-diyl]dimethanesulfonamide",C0917801,Sleeplessness,TARGET_Glutamate_receptor_2,间接机制,1.0,inf,🌟 零样本全新发现
DB01544,Flunitrazepam,C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,🌟 零样本全新发现
DB01215,Estazolam,C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,🌟 零样本全新发现
DB01205,Flumazenil,C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,🌟 零样本全新发现
DB04798,THIO-ATPA,C0917801,Sleeplessness,TARGET_Glutamate_receptor_2,间接机制,1.0,inf,🌟 零样本全新发现
DB04599,Aniracetam,C0917801,Sleeplessness,TARGET_Glutamate_receptor_2,间接机制,1.0,inf,🌟 零样本全新发现
