DrugBank_ID,Drug_Name,Predicted_Disease_ID,Predicted_Disease_Name,Matched_Targets,Bridging_Genes,Rule_Confidence,Rule_Growth_Rate,Validation_Status
DB02729,SD146,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB02704,"(2R,3R,4R,5R)-3,4-Dihydroxy-N,N'-bis[(1S,2R)-2-hydroxy-2,3-dihydro-1H-inden-1-yl]-2,5-bis(2-phenylethyl)hexanediamide",C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB02702,XV638,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB02683,Inhibitor Bea428,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB02668,JE-2147,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB02629,"N,N-[2,5-O-di-2-fluoro-benzyl-glucaryl]-di-[1-amino-indan-2-ol]",C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB02452,Thymidine 5'-triphosphate,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,"TK2, TK1",0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB02428,Quinaldic Acid,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB02413,Hydroxyethylcysteine,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB02411,"2-(11-{2-[Benzenesulfonyl-(3-Methyl-Butyl)-Amino]-1-Hydroxy-Ethyl}-6,9-Dioxo-2-Oxa-7,10-Diaza-Bicyclo[11.2.2]Heptadeca-1(16),13(17),14-Trien-8-Yl)-Acetamide, Inhibitor 2",C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB02189,"2',3'-Dideoxyadenosine triphosphate",C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB02102,Mozenavir,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB04490,3-(Mercaptomethylene)Pyridine,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB04454,Alpha-Aminobutyric Acid,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,"EGF, GATM",0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB04353,"Tert-butyl N-[(2S,5R)-6-[[(2S)-5-amino-1-[[(2S)-1-amino-1-oxo-3-phenylpropan-2-yl]amino]-1,5-dioxopentan-2-yl]amino]-5-benzyl-3,6-dioxo-1-phenylhexan-2-yl]carbamate",C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB04255,Inhibitor BEA388,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB04191,Skf 107457,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB04190,"2,5-dibenzyloxy-3-hydroxy-hexanedioic acid bis-[(2-hydroxy-indan-1-yl)-amide]",C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB04042,"2-[4-(Hydroxy-Methoxy-Methyl)-Benzyl]-7-(4-Hydroxymethyl-Benzyl)-1,1-Dioxo-3,6-Bis-Phenoxymethyl-1lambda6-[1,2,7]Thiadiazepane-4,5-Diol",C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB03963,S-(Dimethylarsenic)Cysteine,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,"MSRA, TLR2, XRCC4, NOS3, COPG1",0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB03908,"N,N-[2,5-O-[Dibenzyl]-glucaryl]-DI-[isoleucyl-amido-methane]",C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB03803,"N,N-[2,5-O-dibenzyl-glucaryl]-DI-[valinyl-aminomethanyl-pyridine]",C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB03768,"N-[2-Hydroxy-2-(8-Isopropyl-6,9-Dioxo-2-Oxa-7,10-Diaza-Bicyclo[11.2.2]Heptadeca-1(16),13(17),14-Trien-11-Yl)-Ethyl]-N-(3-Methyl-Butyl)-Benzenesulfonamide,Inhibitor 3",C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB03676,Cystein-S-Yl Cacodylate,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB03141,"3-{[(5R,6R)-5-Benzyl-6-hydroxy-2,4-bis(4-hydroxybenzyl)-3-oxo-1,2,4-triazepan-1-yl]sulfonyl}benzonitril",C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB03118,(2Z)-1-(5-Chloro-1H-indol-3-yl)-3-hydroxy-3-(1H-tetrazol-5-yl)-2-propen-1-one,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB03076,"3-[[(3R,4S,5S,6R)-7-Benzyl-4,5-dihydroxy-1,1-dioxo-3,6-bis(phenoxymethyl)-1,2,7-thiadiazepan-2-yl]methyl]-N-methylbenzamide",C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB02994,Cacodylic acid,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,"AKR1B1, NOS3, GNAT1",0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB06619,Amdoxovir,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB06581,Bevirimat,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB06414,Etravirine,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,✅ 验证集完美命中
DB06236,Elvucitabine,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB06198,Alovudine,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB06166,Fosdevirine,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB05961,PPL-100,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,"SERPINA5, SERPINA1, SERPING1",0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB05871,UC-781,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB05644,KP-1461,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB05398,C31G,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,CD9,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB05328,VGV-1,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB05228,RDEA806,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB04887,Brecanavir,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB04886,Calanolide A,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB04609,INHIBITOR Q8467 OF DUPONT MERCK,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB04547,Inhibitor BEA409,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB07578,CP-94707,C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB07575,"2,4-DIAMINO-1,5-DIPHENYL-3-HYDROXYPENTANE",C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB07505,"N-({(3R,4R)-4-[(benzyloxy)methyl]pyrrolidin-3-yl}methyl)-N-(2-methylpropyl)benzenesulfonamide",C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB07499,"N-(4-{[amino(imino)methyl]amino}butyl)-2,4'-bi-1,3-thiazole-4-carboxamide",C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB07473,"(R)-(+) 5(9BH)-OXO-9B-PHENYL-2,3-DIHYDROTHIAZOLO[2,3-A]ISOINDOL-3-CARBOXYLIC ACID METHYL ESTER",C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
DB07472,"(R)-(+)9B-(3-METHYL)PHENYL-2,3-DIHYDROTHIAZOLO[2,3-A]ISOINDOL-5(9BH)-ONE",C0019693,HIV Infections,TARGET_Gag-Pol_polyprotein,间接机制,0.717948717948718,23.745420385157352,🌟 零样本全新发现
